Time Shifted (hrs),0% Renewables,5% Renewables,10% Renewables,15% Renewables,20% Renewables,25% Renewables,30% Renewables,35% Renewables,40% Renewables,45% Renewables,50% Renewables,55% Renewables,60% Renewables,65% Renewables,70% Renewables,75% Renewables,80% Renewables,85% Renewables,90% Renewables,95% Renewables,100% Renewables
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003484962105350498,0.012677825614532371,0.017882363731817227,0.014385974914367518,0.02059691701407217,0.032695748976327176,0.055094742407005556,0.06484602398155119,0.05426351149887208,0.05579418568034684,0.07049003758108147,0.08309418787401393,0.1028292577601725
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545982652862959,0.0149425529102638,0.009568492209129734,0.020301564743226676,0.02107665645337181,0.04077617964342951,0.06065594373305282,0.04025454440960893,0.03971300573218647,0.0741497933999397,0.05528040884190385,0.06193448749255804,0.0734608686227945
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024898959134847667,0.009730458305207006,0.012365391535005972,0.014818276697538265,0.021288875225259508,0.03291810958762981,0.04528537579259027,0.07163146260378261,0.06342616773989876,0.046795609314106215,0.06382537873572822,0.05216029911621289,0.07252255099187555
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034775955284298277,0.012591775373870021,0.010794519701605266,0.030862088557504466,0.028415892941717494,0.03964935645476076,0.08108723171128877,0.05530995756591218,0.08120105831623005,0.07533910472144535,0.07536607992570907,0.08194307745716588,0.060123778465754806
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.604806296190024e-05,0.007372396781782912,0.012568384101558474,0.03161414322962991,0.054679021384767094,0.050705911071880605,0.06733945999578528,0.13512430129268416,0.10417193049716018,0.08564875624305655,0.08062372824961372,0.08142447506070784,0.07491870756414344
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007517734677681965,0.008006728687094412,0.02614787926130277,0.05435155257025697,0.06542102662494749,0.07375384125813655,0.07318197038992931,0.08363117087420331,0.09250773988784677,0.0822157977648904,0.07465054972353352,0.08507068698736824
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007761323215029563,0.007447840705573386,0.05269311663404635,0.065150411273757,0.09601609215144627,0.09715753467414616,0.15148381178989803,0.1384577310010273,0.11248264663894149,0.11272302395543149,0.13468161797627412,0.10851090983676957
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005218123111020549,0.01363086182847048,0.030061355540161303,0.06915863552805851,0.08220393999200501,0.09046048120607086,0.10925476413101971,0.09775256308952629,0.12426118940497052,0.11428849136290181,0.12402032200965495,0.10876883583458048
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001822419302748673,0.00838853338236165,0.05382056696443477,0.08022813108278652,0.1069193381081805,0.09790793047214427,0.11180706778098301,0.14841547374308942,0.12253427284435132,0.13674517427458607,0.1711828852637001,0.14236597961811084
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031556741778517644,0.0073753183073312755,0.039625604237547726,0.07180463061546803,0.08933302899588029,0.09056852008401493,0.10372753107591613,0.1224168385987076,0.1288303356754868,0.15343176214378415,0.17828062065631237,0.13093619317640023
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016010734103124123,0.014647422228424396,0.04386628469612464,0.07322297439354246,0.07702114062647598,0.12470443475299371,0.1074642950890367,0.1019359228056173,0.13900798558657804,0.17688424268760605,0.1692003240974278,0.19300198981844183
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014217357396552567,0.01835099823433851,0.03454842334561521,0.06533751480885672,0.0852420925794817,0.07010911160930472,0.08046391645933962,0.1360754335410755,0.13000371068189448,0.13774471612231728,0.16998638504983524,0.16644979241431668
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004597895927926906,0.010828267457237977,0.030187067261952794,0.05906908810921467,0.08830235715369089,0.10428228114519905,0.09940626859151062,0.10972485832008383,0.12882931711314852,0.1659392077840925,0.2004056420344733,0.21259590761225036
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003258185979269603,0.010085323885137646,0.02091720461680795,0.058519296786065406,0.072938268775055,0.09250889300465434,0.09051410604170303,0.11631489503832715,0.12586870840142717,0.11966043739841165,0.12240372340943367,0.14007585629752703
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011421024096984669,0.014246427132933467,0.03080681363382398,0.04666655533342075,0.07188113566322674,0.10103779345086251,0.09342292603559403,0.09656958110236112,0.10636439123502074,0.14754918845419526,0.1932991212549206,0.21813957630513778
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003558766156335388,0.015979461673234767,0.016431160503386937,0.04854803858092628,0.08242293867627236,0.07995260147279869,0.09148566082326433,0.10839850072226971,0.11854252720305501,0.15251414124343143,0.1926701199645435,0.15673617869163334
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027040687345488558,0.012444474373816876,0.03156705204004073,0.033507117143056396,0.07065123425152972,0.09852867146756503,0.08602322953392261,0.08863989961965335,0.12578159120021257,0.13030391097375518,0.1597781317949232,0.2025760058740081
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033101898764194035,0.02554849976767527,0.025159013770816325,0.03693159269095397,0.07362852345247876,0.07802991644203176,0.07781920640054804,0.09057603440063447,0.07005633175281303,0.15653395213309318,0.17810034680969666,0.14848395185228216
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00348874582250237,0.009406543441214669,0.029384081695389808,0.030433932281725355,0.07702791976035829,0.06750303652333198,0.09128119086328827,0.08542763889585164,0.1264654180363741,0.15212633855636787,0.149152123986369,0.1877178643554311
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001889999281276223,0.020425228264349903,0.022944776778015947,0.023436218638316613,0.05727853978038571,0.06604785207660825,0.09462364204013501,0.09889703755472334,0.10851565964317295,0.10260255721293568,0.156370295528425,0.1765713243363381
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016393286714217739,0.011778190383409137,0.0279625559043654,0.055387678590007684,0.06191337692348372,0.07719518503883417,0.05568051130753191,0.0846197255963766,0.11040779396822463,0.09524391326293753,0.11193219711094568,0.15317021112619894
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012422927567528718,0.010798151988547782,0.03157869718901224,0.03299400122290553,0.051025789825504195,0.04131169958840313,0.05494360842418855,0.09956412139979752,0.09640472004212848,0.09161129144574308,0.14815271721260756,0.1495414571160215
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008216989937413218,0.012651103198000195,0.00857394838657511,0.03753575411886535,0.030827499897485146,0.07625501342325064,0.05835759723703664,0.044333984737110504,0.0914187580182803,0.07090321552267237,0.11415738904151859,0.13935487977322483
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008133374640159329,0.0037759581923879704,0.019264780175557987,0.03585684897139907,0.034621228048055404,0.03741533066847922,0.0399096705241593,0.05782717631586445,0.07227028124360527,0.08049431123480377,0.07747666545864411,0.09029012844337578
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055274636936650965,0.014805705722657084,0.018219683475275902,0.030927778508929936,0.029959070953065093,0.05833068017286807,0.0333854197478326,0.052934641147864524,0.06472251660241249,0.07235625664105257,0.09800809475695349,0.07671465376232509
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028485426502022917,0.008011926988065545,0.0038641250067413405,0.03822042886281152,0.01902450215748952,0.04280478379673669,0.020140833399358446,0.02688172605931918,0.05079258546223305,0.057068169599212404,0.04615269464683232,0.0652288039800781
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009172965375738786,0.004910579262840365,0.014579749303668644,0.020558744630781868,0.02927296304551943,0.03248132792380499,0.021725663588266473,0.04312524055194959,0.052295661656991684,0.10335318923986761,0.07938196604602829,0.07017775296924185
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005376984138525173,0.0009539643238686018,0.016002772414710292,0.032353995082557686,0.025099194648316347,0.03973730934835149,0.0474287749166624,0.026786943515647706,0.07829567092854937,0.06094149588080566,0.08430806900513002,0.05897964143664896
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006523491223364719,0.004840908732503763,0.005984934718816428,0.025938640126623867,0.03449397933148226,0.0372365299283503,0.0519021241870025,0.058033677392604364,0.07585638315323863,0.09861930780594004,0.0811094828837484,0.07700371477502119
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006151510727393292,0.0012338318957474752,0.014264720716629264,0.031112620850099942,0.025178838962026776,0.04996140119665395,0.07067975520384097,0.06800621555950409,0.06243710019844622,0.09738560295383623,0.11257683537108754,0.08486786561206977
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034820540642961323,0.013832943322733672,0.023604589005830536,0.031742630452760184,0.03096218398777987,0.04975145034037193,0.07506507147043462,0.08897242583248026,0.07351241217153269,0.06534867937396291,0.10470876915295103,0.07988726320763598
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004938971214317401,0.004601235494652789,0.015209362261370213,0.0268461482163683,0.04766426578758418,0.06780749543727718,0.10365420934092583,0.07476267501191249,0.08293896988757597,0.10438355369401027,0.12447887274303977,0.09381226194641457
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006930782209005934,0.01787637816858519,0.027472522188292037,0.04235190661979108,0.042954643170527995,0.05215133324265058,0.08448744886085045,0.10437216049419101,0.07677926282375543,0.08546438522496504,0.10826406530732197,0.06004027968018509
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080617700663303e-05,0.005563211848145381,0.02703286429424618,0.015693878475760367,0.038576074011754766,0.06736112642103076,0.09117007454337268,0.08876889147272346,0.09329508433074005,0.11218877764624073,0.14188382987282377,0.10115536587586862
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005535253715519132,0.011972898968194878,0.02470190598723607,0.03730772062423748,0.05765887418071153,0.08968944201685383,0.10111694053602198,0.11270542218066655,0.09560171778427025,0.1167576069610211,0.08622952634317206,0.11561230899520633
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368039139142439,0.007629382328755906,0.03795441531256384,0.023390265193412436,0.044680405756619156,0.05390691615214391,0.0752896770440329,0.08803611048975296,0.09543763402809334,0.10958252904272961,0.10848953069563892,0.12264960241146178
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012314738215384508,0.00963109223865757,0.03598427612175774,0.023707012335931157,0.05201228442166836,0.09001635055585305,0.0943711869702798,0.07719568143867087,0.1287229635736537,0.12658686726444537,0.07850402656192444,0.11404017039024093
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008609913923126749,0.02882262380315393,0.027035070330549485,0.0384180200445588,0.06370833170211501,0.06892163889039653,0.08064545655483615,0.10263802152767959,0.08323830848729091,0.12219316900869158,0.1411502139206383
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007605152207475495,0.028103188964400908,0.01969777696746091,0.04216160918773869,0.07229944335107358,0.07649138730910716,0.060453930839679274,0.1135645925286388,0.12418467108768401,0.07454272713250461,0.16612118282876612
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01367376003046165,0.03606351992457583,0.024923515879211534,0.03999636429346954,0.06424875159248568,0.07465533525976341,0.09904789715325664,0.11902460471483725,0.0819467957401193,0.1518349669512856,0.14896759430010936
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039014189071573226,0.020403238221128515,0.027104026430082195,0.03005147745463023,0.05939652968539045,0.07725210967062153,0.079443267316319,0.07840198984494481,0.10800310740254913,0.10030013362197829,0.1490913105322263
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018592803094788606,0.032953892558080906,0.03456414867274786,0.04420870227079718,0.04432711172787837,0.07823972892229791,0.07309837679669434,0.07782477257290715,0.09736559659507657,0.11529769617088591,0.1826986273562643
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011071642318296014,0.02330274592051785,0.038261507265064026,0.05967014875172777,0.05000064278891575,0.07826618679737118,0.08808723547120194,0.07950117481494082,0.0765349797362679,0.1470957754921621,0.12655712583967066
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020486542968781652,0.03069895472811454,0.035124791292982044,0.03443727704319121,0.04056813012309044,0.10630470996117543,0.06605205315390558,0.047666720275005535,0.07556102214261176,0.10480936339909583,0.157864342959504
